datetime,owner_id,timestamp_raw,consumption,reactive_import,reactive_capacitive,generation,reactive_import_out,reactive_capacitive_out,multiplier,rir,rcr,status,additional_consumption,additional_generation,owner_serno
2023-01-01 00:00:00,00000000450,20230101000000,1.433,0.186,0.0,0.0,0.0,0.0,1.0,12.98,0.0,4,0.0,0.0,589272
2023-01-01 01:00:00,00000000450,20230101010000,2.194,0.15,0.0,0.0,0.0,0.0,1.0,6.84,0.0,4,0.0,0.0,589272
2023-01-01 02:00:00,00000000450,20230101020000,2.355,0.148,0.001,0.0,0.0,0.0,1.0,6.28,0.04,4,0.0,0.0,589272
2023-01-01 03:00:00,00000000450,20230101030000,1.776,0.071,0.025,0.0,0.0,0.0,1.0,4.0,1.41,4,0.0,0.0,589272
2023-01-01 04:00:00,00000000450,20230101040000,0.992,0.0,0.057,0.0,0.0,0.0,1.0,0.0,5.75,4,0.0,0.0,589272
2023-01-01 05:00:00,00000000450,20230101050000,0.162,0.011,0.041,0.0,0.0,0.0,1.0,6.79,25.31,4,0.0,0.0,589272
2023-01-01 06:00:00,00000000450,20230101060000,0.719,0.098,0.032,0.0,0.0,0.0,1.0,13.63,4.45,4,0.0,0.0,589272
2023-01-01 07:00:00,00000000450,20230101070000,1.245,0.172,0.0,0.0,0.0,0.0,1.0,13.82,0.0,4,0.0,0.0,589272
2023-01-01 08:00:00,00000000450,20230101080000,1.188,0.14,0.0,0.0,0.0,0.0,1.0,11.78,0.0,4,0.0,0.0,589272
2023-01-01 09:00:00,00000000450,20230101090000,1.192,0.152,0.001,0.0,0.0,0.0,1.0,12.75,0.08,4,0.0,0.0,589272
2023-01-01 10:00:00,00000000450,20230101100000,1.084,0.098,0.008,0.0,0.0,0.0,1.0,9.04,0.74,4,0.0,0.0,589272
2023-01-01 11:00:00,00000000450,20230101110000,0.44,0.031,0.033,0.0,0.0,0.0,1.0,7.05,7.5,4,0.0,0.0,589272
2023-01-01 12:00:00,00000000450,20230101120000,0.305,0.008,0.064,0.0,0.0,0.0,1.0,2.62,20.98,4,0.0,0.0,589272
2023-01-01 13:00:00,00000000450,20230101130000,0.261,0.002,0.055,0.0,0.0,0.0,1.0,0.77,21.07,4,0.0,0.0,589272
2023-01-01 14:00:00,00000000450,20230101140000,0.117,0.081,0.031,0.0,0.0,0.0,1.0,69.23,26.5,4,0.0,0.0,589272
2023-01-01 15:00:00,00000000450,20230101150000,0.146,0.0,0.054,0.0,0.0,0.0,1.0,0.0,36.99,4,0.0,0.0,589272
2023-01-01 16:00:00,00000000450,20230101160000,0.168,0.009,0.057,0.0,0.0,0.0,1.0,5.36,33.93,4,0.0,0.0,589272
2023-01-01 17:00:00,00000000450,20230101170000,0.789,0.095,0.026,0.0,0.0,0.0,1.0,12.04,3.3,4,0.0,0.0,589272
2023-01-01 18:00:00,00000000450,20230101180000,1.065,0.063,0.043,0.0,0.0,0.0,1.0,5.92,4.04,4,0.0,0.0,589272
2023-01-01 19:00:00,00000000450,20230101190000,2.192,0.173,0.0,0.0,0.0,0.0,1.0,7.89,0.0,4,0.0,0.0,589272
2023-01-01 20:00:00,00000000450,20230101200000,1.995,0.105,0.0,0.0,0.0,0.0,1.0,5.26,0.0,4,0.0,0.0,589272
2023-01-01 21:00:00,00000000450,20230101210000,2.663,0.243,0.0,0.0,0.0,0.0,1.0,9.13,0.0,4,0.0,0.0,589272
2023-01-01 22:00:00,00000000450,20230101220000,1.681,0.421,0.0,0.0,0.0,0.0,1.0,25.04,0.0,4,0.0,0.0,589272
2023-01-01 23:00:00,00000000450,20230101230000,2.745,0.175,0.006,0.0,0.0,0.0,1.0,6.38,0.22,4,0.0,0.0,589272
2023-01-02 00:00:00,00000000450,20230102000000,0.364,0.016,0.056,0.0,0.0,0.0,1.0,4.4,15.38,4,0.0,0.0,589272
2023-01-02 01:00:00,00000000450,20230102010000,0.105,0.009,0.064,0.0,0.0,0.0,1.0,8.57,60.95,4,0.0,0.0,589272
2023-01-02 02:00:00,00000000450,20230102020000,0.131,0.0,0.058,0.0,0.0,0.0,1.0,0.0,44.27,4,0.0,0.0,589272
2023-01-02 03:00:00,00000000450,20230102030000,0.107,0.009,0.064,0.0,0.0,0.0,1.0,8.41,59.81,4,0.0,0.0,589272
2023-01-02 04:00:00,00000000450,20230102040000,0.127,0.0,0.061,0.0,0.0,0.0,1.0,0.0,48.03,4,0.0,0.0,589272
2023-01-02 05:00:00,00000000450,20230102050000,0.118,0.008,0.06,0.0,0.0,0.0,1.0,6.78,50.85,4,0.0,0.0,589272
2023-01-02 06:00:00,00000000450,20230102060000,0.222,0.013,0.065,0.0,0.0,0.0,1.0,5.86,29.28,4,0.0,0.0,589272
2023-01-02 07:00:00,00000000450,20230102070000,1.462,0.19,0.0,0.0,0.0,0.0,1.0,13.0,0.0,4,0.0,0.0,589272
2023-01-02 08:00:00,00000000450,20230102080000,1.481,0.114,0.0,0.0,0.0,0.0,1.0,7.7,0.0,4,0.0,0.0,589272
2023-01-02 09:00:00,00000000450,20230102090000,1.308,0.125,0.0,0.0,0.0,0.0,1.0,9.56,0.0,4,0.0,0.0,589272
2023-01-02 10:00:00,00000000450,20230102100000,1.215,0.105,0.0,0.0,0.0,0.0,1.0,8.64,0.0,4,0.0,0.0,589272
2023-01-02 11:00:00,00000000450,20230102110000,0.658,0.049,0.026,0.0,0.0,0.0,1.0,7.45,3.95,4,0.0,0.0,589272
2023-01-02 12:00:00,00000000450,20230102120000,0.798,0.06,0.027,0.0,0.0,0.0,1.0,7.52,3.38,4,0.0,0.0,589272
2023-01-02 13:00:00,00000000450,20230102130000,2.212,0.142,0.003,0.0,0.0,0.0,1.0,6.42,0.14,4,0.0,0.0,589272
2023-01-02 14:00:00,00000000450,20230102140000,0.909,0.077,0.034,0.0,0.0,0.0,1.0,8.47,3.74,4,0.0,0.0,589272
2023-01-02 15:00:00,00000000450,20230102150000,0.175,0.011,0.054,0.0,0.0,0.0,1.0,6.29,30.86,4,0.0,0.0,589272
2023-01-02 16:00:00,00000000450,20230102160000,0.151,0.003,0.053,0.0,0.0,0.0,1.0,1.99,35.1,4,0.0,0.0,589272
2023-01-02 17:00:00,00000000450,20230102170000,0.207,0.018,0.053,0.0,0.0,0.0,1.0,8.7,25.6,4,0.0,0.0,589272
2023-01-02 18:00:00,00000000450,20230102180000,1.473,0.182,0.0,0.0,0.0,0.0,1.0,12.36,0.0,4,0.0,0.0,589272
2023-01-02 19:00:00,00000000450,20230102190000,1.54,0.183,0.0,0.0,0.0,0.0,1.0,11.88,0.0,4,0.0,0.0,589272
2023-01-02 20:00:00,00000000450,20230102200000,1.584,0.177,0.0,0.0,0.0,0.0,1.0,11.17,0.0,4,0.0,0.0,589272
2023-01-02 21:00:00,00000000450,20230102210000,1.525,0.159,0.0,0.0,0.0,0.0,1.0,10.43,0.0,4,0.0,0.0,589272
2023-01-02 22:00:00,00000000450,20230102220000,1.408,0.124,0.008,0.0,0.0,0.0,1.0,8.81,0.57,4,0.0,0.0,589272
2023-01-02 23:00:00,00000000450,20230102230000,1.186,0.006,0.053,0.0,0.0,0.0,1.0,0.51,4.47,4,0.0,0.0,589272
2023-01-03 00:00:00,00000000450,20230103000000,0.471,0.004,0.05,0.0,0.0,0.0,1.0,0.85,10.62,4,0.0,0.0,589272
2023-01-03 01:00:00,00000000450,20230103010000,0.124,0.0,0.046,0.0,0.0,0.0,1.0,0.0,37.1,4,0.0,0.0,589272
2023-01-03 02:00:00,00000000450,20230103020000,0.106,0.011,0.052,0.0,0.0,0.0,1.0,10.38,49.06,4,0.0,0.0,589272
2023-01-03 03:00:00,00000000450,20230103030000,0.129,0.0,0.044,0.0,0.0,0.0,1.0,0.0,34.11,4,0.0,0.0,589272
2023-01-03 04:00:00,00000000450,20230103040000,1.09,0.109,0.006,0.0,0.0,0.0,1.0,10.0,0.55,4,0.0,0.0,589272
2023-01-03 05:00:00,00000000450,20230103050000,0.775,0.052,0.042,0.0,0.0,0.0,1.0,6.71,5.42,4,0.0,0.0,589272
2023-01-03 06:00:00,00000000450,20230103060000,0.099,0.018,0.026,0.0,0.0,0.0,1.0,18.18,26.26,4,0.0,0.0,589272
2023-01-03 07:00:00,00000000450,20230103070000,0.051,0.0,0.041,0.0,0.0,0.0,1.0,0.0,80.39,4,0.0,0.0,589272
2023-01-03 08:00:00,00000000450,20230103080000,0.096,0.012,0.021,0.0,0.0,0.0,1.0,12.5,21.88,4,0.0,0.0,589272
2023-01-03 09:00:00,00000000450,20230103090000,0.061,0.0,0.036,0.0,0.0,0.0,1.0,0.0,59.02,4,0.0,0.0,589272
