datetime,owner_id,timestamp_raw,consumption,reactive_import,reactive_capacitive,generation,reactive_import_out,reactive_capacitive_out,multiplier,rir,rcr,status,additional_consumption,additional_generation,owner_serno
2023-01-01 00:00:00,00000052870,20230101000000,0.159,0.0,0.065,0.0,0.0,0.0,1.0,0.0,40.88,4,0.0,0.0,598549
2023-01-01 01:00:00,00000052870,20230101010000,0.159,0.0,0.068,0.0,0.0,0.0,1.0,0.0,42.77,4,0.0,0.0,598549
2023-01-01 02:00:00,00000052870,20230101020000,0.103,0.011,0.015,0.0,0.0,0.0,1.0,10.68,14.56,4,0.0,0.0,598549
2023-01-01 03:00:00,00000052870,20230101030000,0.037,0.008,0.007,0.0,0.0,0.0,1.0,21.62,18.92,4,0.0,0.0,598549
2023-01-01 04:00:00,00000052870,20230101040000,0.035,0.008,0.007,0.0,0.0,0.0,1.0,22.86,20.0,4,0.0,0.0,598549
2023-01-01 05:00:00,00000052870,20230101050000,0.053,0.015,0.005,0.0,0.0,0.0,1.0,28.3,9.43,4,0.0,0.0,598549
2023-01-01 06:00:00,00000052870,20230101060000,0.034,0.008,0.007,0.0,0.0,0.0,1.0,23.53,20.59,4,0.0,0.0,598549
2023-01-01 07:00:00,00000052870,20230101070000,0.046,0.012,0.006,0.0,0.0,0.0,1.0,26.09,13.04,4,0.0,0.0,598549
2023-01-01 08:00:00,00000052870,20230101080000,0.042,0.01,0.006,0.0,0.0,0.0,1.0,23.81,14.29,4,0.0,0.0,598549
2023-01-01 09:00:00,00000052870,20230101090000,0.033,0.008,0.007,0.0,0.0,0.0,1.0,24.24,21.21,4,0.0,0.0,598549
2023-01-01 10:00:00,00000052870,20230101100000,0.059,0.014,0.006,0.0,0.0,0.0,1.0,23.73,10.17,4,0.0,0.0,598549
2023-01-01 11:00:00,00000052870,20230101110000,0.035,0.008,0.008,0.0,0.0,0.0,1.0,22.86,22.86,4,0.0,0.0,598549
2023-01-01 12:00:00,00000052870,20230101120000,0.047,0.012,0.005,0.0,0.0,0.0,1.0,25.53,10.64,4,0.0,0.0,598549
2023-01-01 13:00:00,00000052870,20230101130000,0.04,0.009,0.007,0.0,0.0,0.0,1.0,22.5,17.5,4,0.0,0.0,598549
2023-01-01 14:00:00,00000052870,20230101140000,0.033,0.008,0.006,0.0,0.0,0.0,1.0,24.24,18.18,4,0.0,0.0,598549
