datetime,owner_id,timestamp_raw,consumption,reactive_import,reactive_capacitive,generation,reactive_import_out,reactive_capacitive_out,multiplier,rir,rcr,status,additional_consumption,additional_generation,owner_serno
2023-01-01 00:00:00,00000049930,20230101000000,0.286,0.0,0.092,0.0,0.0,0.0,1.0,0.0,32.17,4,0.0,0.0,589395
2023-01-01 01:00:00,00000049930,20230101010000,0.326,0.0,0.052,0.0,0.0,0.0,1.0,0.0,15.95,4,0.0,0.0,589395
2023-01-01 02:00:00,00000049930,20230101020000,0.177,0.0,0.108,0.0,0.0,0.0,1.0,0.0,61.02,4,0.0,0.0,589395
2023-01-01 03:00:00,00000049930,20230101030000,0.14,0.0,0.093,0.0,0.0,0.0,1.0,0.0,66.43,4,0.0,0.0,589395
2023-01-01 04:00:00,00000049930,20230101040000,0.225,0.0,0.026,0.0,0.0,0.0,1.0,0.0,11.56,4,0.0,0.0,589395
2023-01-01 05:00:00,00000049930,20230101050000,0.218,0.0,0.046,0.0,0.0,0.0,1.0,0.0,21.1,4,0.0,0.0,589395
2023-01-01 06:00:00,00000049930,20230101060000,0.632,0.0,0.03,0.0,0.0,0.0,1.0,0.0,4.75,4,0.0,0.0,589395
2023-01-01 07:00:00,00000049930,20230101070000,0.171,0.001,0.056,0.0,0.0,0.0,1.0,0.58,32.75,4,0.0,0.0,589395
2023-01-01 08:00:00,00000049930,20230101080000,0.189,0.0,0.043,0.0,0.0,0.0,1.0,0.0,22.75,4,0.0,0.0,589395
2023-01-01 09:00:00,00000049930,20230101090000,0.156,0.0,0.086,0.0,0.0,0.0,1.0,0.0,55.13,4,0.0,0.0,589395
2023-01-01 10:00:00,00000049930,20230101100000,0.394,0.0,0.098,0.0,0.0,0.0,1.0,0.0,24.87,4,0.0,0.0,589395
2023-01-01 11:00:00,00000049930,20230101110000,0.695,0.002,0.038,0.0,0.0,0.0,1.0,0.29,5.47,4,0.0,0.0,589395
2023-01-01 12:00:00,00000049930,20230101120000,2.025,0.0,0.03,0.0,0.0,0.0,1.0,0.0,1.48,4,0.0,0.0,589395
2023-01-01 13:00:00,00000049930,20230101130000,0.563,0.0,0.025,0.0,0.0,0.0,1.0,0.0,4.44,4,0.0,0.0,589395
2023-01-01 14:00:00,00000049930,20230101140000,0.262,0.0,0.04,0.0,0.0,0.0,1.0,0.0,15.27,4,0.0,0.0,589395
2023-01-01 15:00:00,00000049930,20230101150000,1.455,0.0,0.041,0.0,0.0,0.0,1.0,0.0,2.82,4,0.0,0.0,589395
2023-01-01 16:00:00,00000049930,20230101160000,0.189,0.0,0.082,0.0,0.0,0.0,1.0,0.0,43.39,4,0.0,0.0,589395
2023-01-01 17:00:00,00000049930,20230101170000,0.162,0.0,0.098,0.0,0.0,0.0,1.0,0.0,60.49,4,0.0,0.0,589395
2023-01-01 18:00:00,00000049930,20230101180000,0.205,0.0,0.062,0.0,0.0,0.0,1.0,0.0,30.24,4,0.0,0.0,589395
2023-01-01 19:00:00,00000049930,20230101190000,0.258,0.0,0.032,0.0,0.0,0.0,1.0,0.0,12.4,4,0.0,0.0,589395
2023-01-01 20:00:00,00000049930,20230101200000,0.814,0.0,0.033,0.0,0.0,0.0,1.0,0.0,4.05,4,0.0,0.0,589395
2023-01-01 21:00:00,00000049930,20230101210000,0.225,0.0,0.04,0.0,0.0,0.0,1.0,0.0,17.78,4,0.0,0.0,589395
2023-01-01 22:00:00,00000049930,20230101220000,0.272,0.001,0.065,0.0,0.0,0.0,1.0,0.37,23.9,4,0.0,0.0,589395
2023-01-01 23:00:00,00000049930,20230101230000,0.262,0.0,0.03,0.0,0.0,0.0,1.0,0.0,11.45,4,0.0,0.0,589395
2023-01-02 00:00:00,00000049930,20230102000000,0.169,0.0,0.086,0.0,0.0,0.0,1.0,0.0,50.89,4,0.0,0.0,589395
2023-01-02 01:00:00,00000049930,20230102010000,0.158,0.0,0.102,0.0,0.0,0.0,1.0,0.0,64.56,4,0.0,0.0,589395
2023-01-02 02:00:00,00000049930,20230102020000,0.654,0.0,0.082,0.0,0.0,0.0,1.0,0.0,12.54,4,0.0,0.0,589395
2023-01-02 03:00:00,00000049930,20230102030000,0.246,0.0,0.034,0.0,0.0,0.0,1.0,0.0,13.82,4,0.0,0.0,589395
2023-01-02 04:00:00,00000049930,20230102040000,0.216,0.0,0.051,0.0,0.0,0.0,1.0,0.0,23.61,4,0.0,0.0,589395
2023-01-02 05:00:00,00000049930,20230102050000,0.192,0.0,0.081,0.0,0.0,0.0,1.0,0.0,42.19,4,0.0,0.0,589395
2023-01-02 06:00:00,00000049930,20230102060000,0.209,0.0,0.058,0.0,0.0,0.0,1.0,0.0,27.75,4,0.0,0.0,589395
2023-01-02 07:00:00,00000049930,20230102070000,0.201,0.0,0.067,0.0,0.0,0.0,1.0,0.0,33.33,4,0.0,0.0,589395
2023-01-02 08:00:00,00000049930,20230102080000,0.164,0.0,0.094,0.0,0.0,0.0,1.0,0.0,57.32,4,0.0,0.0,589395
2023-01-02 09:00:00,00000049930,20230102090000,0.565,0.0,0.097,0.0,0.0,0.0,1.0,0.0,17.17,4,0.0,0.0,589395
2023-01-02 10:00:00,00000049930,20230102100000,0.218,0.0,0.054,0.0,0.0,0.0,1.0,0.0,24.77,4,0.0,0.0,589395
