datetime,owner_id,timestamp_raw,consumption,reactive_import,reactive_capacitive,generation,reactive_import_out,reactive_capacitive_out,multiplier,rir,rcr,status,additional_consumption,additional_generation,owner_serno
2023-01-01 00:00:00,00000004130,20230101000000,0.163,0.08,0.0,0.0,0.0,0.0,1.0,49.08,0.0,4,0.0,0.0,589393
2023-01-01 01:00:00,00000004130,20230101010000,0.061,0.009,0.016,0.0,0.0,0.0,1.0,14.75,26.23,4,0.0,0.0,589393
2023-01-01 02:00:00,00000004130,20230101020000,0.131,0.037,0.0,0.0,0.0,0.0,1.0,28.24,0.0,4,0.0,0.0,589393
2023-01-01 03:00:00,00000004130,20230101030000,0.062,0.011,0.016,0.0,0.0,0.0,1.0,17.74,25.81,4,0.0,0.0,589393
2023-01-01 04:00:00,00000004130,20230101040000,0.078,0.021,0.01,0.0,0.0,0.0,1.0,26.92,12.82,4,0.0,0.0,589393
2023-01-01 05:00:00,00000004130,20230101050000,0.282,0.019,0.002,0.0,0.0,0.0,1.0,6.74,0.71,4,0.0,0.0,589393
2023-01-01 06:00:00,00000004130,20230101060000,0.044,0.005,0.023,0.0,0.0,0.0,1.0,11.36,52.27,4,0.0,0.0,589393
2023-01-01 07:00:00,00000004130,20230101070000,0.555,0.039,0.002,0.0,0.0,0.0,1.0,7.03,0.36,4,0.0,0.0,589393
2023-01-01 08:00:00,00000004130,20230101080000,0.186,0.027,0.016,0.0,0.0,0.0,1.0,14.52,8.6,4,0.0,0.0,589393
2023-01-01 09:00:00,00000004130,20230101090000,0.326,0.017,0.006,0.0,0.0,0.0,1.0,5.21,1.84,4,0.0,0.0,589393
2023-01-01 10:00:00,00000004130,20230101100000,0.368,0.015,0.005,0.0,0.0,0.0,1.0,4.08,1.36,4,0.0,0.0,589393
2023-01-01 11:00:00,00000004130,20230101110000,0.933,0.011,0.012,0.0,0.0,0.0,1.0,1.18,1.29,4,0.0,0.0,589393
2023-01-01 12:00:00,00000004130,20230101120000,0.405,0.094,0.002,0.0,0.0,0.0,1.0,23.21,0.49,4,0.0,0.0,589393
2023-01-01 13:00:00,00000004130,20230101130000,0.887,0.452,0.003,0.0,0.0,0.0,1.0,50.96,0.34,4,0.0,0.0,589393
2023-01-01 14:00:00,00000004130,20230101140000,0.391,0.397,0.003,0.0,0.0,0.0,1.0,101.53,0.77,4,0.0,0.0,589393
2023-01-01 15:00:00,00000004130,20230101150000,0.271,0.19,0.001,0.0,0.0,0.0,1.0,70.11,0.37,4,0.0,0.0,589393
2023-01-01 16:00:00,00000004130,20230101160000,1.033,0.177,0.015,0.0,0.0,0.0,1.0,17.13,1.45,4,0.0,0.0,589393
2023-01-01 17:00:00,00000004130,20230101170000,0.894,0.461,0.0,0.0,0.0,0.0,1.0,51.57,0.0,4,0.0,0.0,589393
2023-01-01 18:00:00,00000004130,20230101180000,0.851,0.391,0.001,0.0,0.0,0.0,1.0,45.95,0.12,4,0.0,0.0,589393
2023-01-01 19:00:00,00000004130,20230101190000,0.726,0.322,0.0,0.0,0.0,0.0,1.0,44.35,0.0,4,0.0,0.0,589393
2023-01-01 20:00:00,00000004130,20230101200000,0.655,0.415,0.003,0.0,0.0,0.0,1.0,63.36,0.46,4,0.0,0.0,589393
2023-01-01 21:00:00,00000004130,20230101210000,0.223,0.366,0.0,0.0,0.0,0.0,1.0,164.13,0.0,4,0.0,0.0,589393
2023-01-01 22:00:00,00000004130,20230101220000,0.115,0.13,0.012,0.0,0.0,0.0,1.0,113.04,10.43,4,0.0,0.0,589393
2023-01-01 23:00:00,00000004130,20230101230000,0.083,0.023,0.009,0.0,0.0,0.0,1.0,27.71,10.84,4,0.0,0.0,589393
2023-01-02 00:00:00,00000004130,20230102000000,0.073,0.01,0.016,0.0,0.0,0.0,1.0,13.7,21.92,4,0.0,0.0,589393
2023-01-02 01:00:00,00000004130,20230102010000,0.289,0.029,0.016,0.0,0.0,0.0,1.0,10.03,5.54,4,0.0,0.0,589393
2023-01-02 02:00:00,00000004130,20230102020000,0.083,0.014,0.01,0.0,0.0,0.0,1.0,16.87,12.05,4,0.0,0.0,589393
2023-01-02 03:00:00,00000004130,20230102030000,0.062,0.01,0.016,0.0,0.0,0.0,1.0,16.13,25.81,4,0.0,0.0,589393
