datetime,owner_id,timestamp_raw,consumption,reactive_import,reactive_capacitive,generation,reactive_import_out,reactive_capacitive_out,multiplier,rir,rcr,status,additional_consumption,additional_generation,owner_serno
2023-01-01 00:00:00,00000000590,20230101000000,0.193,0.366,0.005,0.0,0.0,0.0,1.0,189.64,2.59,4,0.0,0.0,589260
2023-01-01 01:00:00,00000000590,20230101010000,0.251,0.158,0.013,0.0,0.0,0.0,1.0,62.95,5.18,4,0.0,0.0,589260
2023-01-01 02:00:00,00000000590,20230101020000,0.06,0.0,0.02,0.0,0.0,0.0,1.0,0.0,33.33,4,0.0,0.0,589260
2023-01-01 03:00:00,00000000590,20230101030000,0.046,0.0,0.018,0.0,0.0,0.0,1.0,0.0,39.13,4,0.0,0.0,589260
2023-01-01 04:00:00,00000000590,20230101040000,0.04,0.0,0.018,0.0,0.0,0.0,1.0,0.0,45.0,4,0.0,0.0,589260
2023-01-01 05:00:00,00000000590,20230101050000,0.043,0.0,0.018,0.0,0.0,0.0,1.0,0.0,41.86,4,0.0,0.0,589260
2023-01-01 06:00:00,00000000590,20230101060000,0.043,0.0,0.017,0.0,0.0,0.0,1.0,0.0,39.53,4,0.0,0.0,589260
2023-01-01 07:00:00,00000000590,20230101070000,0.088,0.0,0.027,0.0,0.0,0.0,1.0,0.0,30.68,4,0.0,0.0,589260
2023-01-01 08:00:00,00000000590,20230101080000,0.09,0.001,0.03,0.0,0.0,0.0,1.0,1.11,33.33,4,0.0,0.0,589260
2023-01-01 09:00:00,00000000590,20230101090000,0.08,0.0,0.019,0.0,0.0,0.0,1.0,0.0,23.75,4,0.0,0.0,589260
2023-01-01 10:00:00,00000000590,20230101100000,0.079,0.0,0.018,0.0,0.0,0.0,1.0,0.0,22.78,4,0.0,0.0,589260
2023-01-01 11:00:00,00000000590,20230101110000,0.08,0.0,0.021,0.0,0.0,0.0,1.0,0.0,26.25,4,0.0,0.0,589260
2023-01-01 12:00:00,00000000590,20230101120000,0.719,0.232,0.005,0.0,0.0,0.0,1.0,32.27,0.7,4,0.0,0.0,589260
2023-01-01 13:00:00,00000000590,20230101130000,0.116,0.252,0.002,0.0,0.0,0.0,1.0,217.24,1.72,4,0.0,0.0,589260
2023-01-01 14:00:00,00000000590,20230101140000,0.658,0.167,0.009,0.0,0.0,0.0,1.0,25.38,1.37,4,0.0,0.0,589260
2023-01-01 15:00:00,00000000590,20230101150000,0.232,0.306,0.005,0.0,0.0,0.0,1.0,131.9,2.16,4,0.0,0.0,589260
