datetime,owner_id,timestamp_raw,consumption,reactive_import,reactive_capacitive,generation,reactive_import_out,reactive_capacitive_out,multiplier,rir,rcr,status,additional_consumption,additional_generation,owner_serno
2023-01-01 00:00:00,00000000530,20230101000000,0.241,0.039,0.058,0.0,0.0,0.0,1.0,16.18,24.07,4,0.0,0.0,589257
2023-01-01 01:00:00,00000000530,20230101010000,0.201,0.103,0.034,0.0,0.0,0.0,1.0,51.24,16.92,4,0.0,0.0,589257
2023-01-01 02:00:00,00000000530,20230101020000,0.085,0.098,0.023,0.0,0.0,0.0,1.0,115.29,27.06,4,0.0,0.0,589257
2023-01-01 03:00:00,00000000530,20230101030000,0.069,0.059,0.034,0.0,0.0,0.0,1.0,85.51,49.28,4,0.0,0.0,589257
2023-01-01 04:00:00,00000000530,20230101040000,0.105,0.142,0.014,0.0,0.0,0.0,1.0,135.24,13.33,4,0.0,0.0,589257
2023-01-01 05:00:00,00000000530,20230101050000,0.047,0.016,0.044,0.0,0.0,0.0,1.0,34.04,93.62,4,0.0,0.0,589257
2023-01-01 06:00:00,00000000530,20230101060000,0.122,0.174,0.004,0.0,0.0,0.0,1.0,142.62,3.28,4,0.0,0.0,589257
2023-01-01 07:00:00,00000000530,20230101070000,0.038,0.0,0.047,0.0,0.0,0.0,1.0,0.0,123.68,4,0.0,0.0,589257
2023-01-01 08:00:00,00000000530,20230101080000,0.123,0.175,0.006,0.0,0.0,0.0,1.0,142.28,4.88,4,0.0,0.0,589257
2023-01-01 09:00:00,00000000530,20230101090000,0.044,0.011,0.046,0.0,0.0,0.0,1.0,25.0,104.55,4,0.0,0.0,589257
2023-01-01 10:00:00,00000000530,20230101100000,0.215,0.155,0.015,0.0,0.0,0.0,1.0,72.09,6.98,4,0.0,0.0,589257
2023-01-01 11:00:00,00000000530,20230101110000,0.123,0.066,0.035,0.0,0.0,0.0,1.0,53.66,28.46,4,0.0,0.0,589257
2023-01-01 12:00:00,00000000530,20230101120000,0.08,0.087,0.025,0.0,0.0,0.0,1.0,108.75,31.25,4,0.0,0.0,589257
