datetime,owner_id,timestamp_raw,consumption,reactive_import,reactive_capacitive,generation,reactive_import_out,reactive_capacitive_out,multiplier,rir,rcr,status,additional_consumption,additional_generation,owner_serno
2023-01-01 00:00:00,00000052850,20230101000000,0.307,0.0,0.071,0.0,0.0,0.0,1.0,0.0,23.13,4,0.0,0.0,598548
2023-01-01 01:00:00,00000052850,20230101010000,0.275,0.0,0.055,0.0,0.0,0.0,1.0,0.0,20.0,4,0.0,0.0,598548
2023-01-01 02:00:00,00000052850,20230101020000,0.247,0.0,0.043,0.0,0.0,0.0,1.0,0.0,17.41,4,0.0,0.0,598548
2023-01-01 03:00:00,00000052850,20230101030000,0.243,0.0,0.043,0.0,0.0,0.0,1.0,0.0,17.7,4,0.0,0.0,598548
2023-01-01 04:00:00,00000052850,20230101040000,0.335,0.0,0.038,0.0,0.0,0.0,1.0,0.0,11.34,4,0.0,0.0,598548
2023-01-01 05:00:00,00000052850,20230101050000,0.179,0.0,0.029,0.0,0.0,0.0,1.0,0.0,16.2,4,0.0,0.0,598548
2023-01-01 06:00:00,00000052850,20230101060000,0.157,0.0,0.029,0.0,0.0,0.0,1.0,0.0,18.47,4,0.0,0.0,598548
2023-01-01 07:00:00,00000052850,20230101070000,0.155,0.0,0.029,0.0,0.0,0.0,1.0,0.0,18.71,4,0.0,0.0,598548
2023-01-01 08:00:00,00000052850,20230101080000,0.153,0.0,0.029,0.0,0.0,0.0,1.0,0.0,18.95,4,0.0,0.0,598548
2023-01-01 09:00:00,00000052850,20230101090000,0.235,0.0,0.041,0.0,0.0,0.0,1.0,0.0,17.45,4,0.0,0.0,598548
2023-01-01 10:00:00,00000052850,20230101100000,0.251,0.0,0.044,0.0,0.0,0.0,1.0,0.0,17.53,4,0.0,0.0,598548
2023-01-01 11:00:00,00000052850,20230101110000,1.016,0.001,0.042,0.0,0.0,0.0,1.0,0.1,4.13,4,0.0,0.0,598548
2023-01-01 12:00:00,00000052850,20230101120000,1.451,0.0,0.073,0.0,0.0,0.0,1.0,0.0,5.03,4,0.0,0.0,598548
2023-01-01 13:00:00,00000052850,20230101130000,0.291,0.0,0.062,0.0,0.0,0.0,1.0,0.0,21.31,4,0.0,0.0,598548
2023-01-01 14:00:00,00000052850,20230101140000,0.262,0.0,0.056,0.0,0.0,0.0,1.0,0.0,21.37,4,0.0,0.0,598548
2023-01-01 15:00:00,00000052850,20230101150000,0.243,0.0,0.049,0.0,0.0,0.0,1.0,0.0,20.16,4,0.0,0.0,598548
2023-01-01 16:00:00,00000052850,20230101160000,2.586,0.001,0.04,0.0,0.0,0.0,1.0,0.04,1.55,4,0.0,0.0,598548
2023-01-01 17:00:00,00000052850,20230101170000,0.259,0.004,0.034,0.0,0.0,0.0,1.0,1.54,13.13,4,0.0,0.0,598548
2023-01-01 18:00:00,00000052850,20230101180000,0.346,0.001,0.046,0.0,0.0,0.0,1.0,0.29,13.29,4,0.0,0.0,598548
